ontology,total_trials,success_count,success_rate,time_limit_exceeded_count,time_limit_exceeded_rate,memory_limit_exceeded_count,memory_limit_exceeded_rate
bctt,100,100,1.0,0,0.0,0,0.0
co-wheat,100,100,1.0,0,0.0,0,0.0
elig,100,100,1.0,0,0.0,0,0.0
hom,100,100,1.0,0,0.0,0,0.0
ogr,100,100,1.0,0,0.0,0,0.0
pe,100,100,1.0,0,0.0,0,0.0
taxrank,100,100,1.0,0,0.0,0,0.0
xeo,112,100,0.8928571428571429,10,0.08928571428571429,2,0.017857142857142856
overall,812,800,0.9852216748768473,10,0.012315270935960592,2,0.0024630541871921183
