ontology,repair_id,mean_ms,n
DMDSONT,B2,1742.95,100
DMDSONT,B3,1091.62,100
DMDSONT,B4,91.05,100
DMDSONT,B5,2688.77,100
DMDSONT,B6,1638.36,100
DMDSONT,B7,101.27,100
DMDSONT,B8,2652.92,100
DMDSONT,B9,1673.04,100
DSEO,A1,204.56,100
DSEO,A2,5217.3,100
DSEO,A3,738.62,100
DSEO,B2,3841.87,100
DSEO,B3,2230.56,100
DSEO,B4,136.42,100
DSEO,B5,2125.28,100
DSEO,B6,1170.54,100
DSEO,B7,189.28,100
DSEO,B8,1993.89,100
DSEO,B9,1524.6,100
FG,A1,46.31,100
FG,A2,121.81,100
FG,A3,227.22,100
FG,B2,1774.8,100
FG,B3,1130.14,100
FG,B4,25.71,100
FG,B5,883.5,100
FG,B6,765.92,100
FG,B7,27.01,100
FG,B8,896.16,100
FG,B9,749.05,100
FL8DSIP,A1,69.76,100
FL8DSIP,A2,387.08,100
FL8DSIP,A3,284.09,100
FL8DSIP,B2,3428.56,100
FL8DSIP,B3,2085.32,100
FL8DSIP,B4,171.43,100
FL8DSIP,B5,1751.76,100
FL8DSIP,B6,1278.73,100
FL8DSIP,B7,235.49,100
FL8DSIP,B8,1805.55,100
FL8DSIP,B9,1261.62,100
GB,A1,66.01,100
GB,A2,686.82,100
GB,A3,305.74,100
GB,B2,3468.69,100
GB,B3,2119.19,100
GB,B4,139.16,100
GB,B5,3205.35,100
GB,B6,2452.7,100
GB,B7,87.27,100
GB,B8,3318.66,100
GB,B9,2439.45,100
GENAI,A1,70.65,100
GENAI,A2,816.46,100
GENAI,A3,199.51,100
GENAI,B2,1127.4,100
GENAI,B3,539.03,100
GENAI,B4,37.81,100
GENAI,B5,482.35,100
GENAI,B6,296.07,100
GENAI,B7,47.63,100
GENAI,B8,491.99,100
GENAI,B9,310.57,100
HCM-D,A1,50.57,100
HCM-D,A2,150.9,100
HCM-D,A3,202.27,100
HCM-D,B2,552.95,100
HCM-D,B3,339.47,100
HCM-D,B4,24.0,100
HCM-D,B5,250.91,100
HCM-D,B6,183.78,100
HCM-D,B7,24.03,100
HCM-D,B8,220.53,100
HCM-D,B9,151.19,100
HOM,A1,110.65,100
HOM,A2,4003.34,100
HOM,A3,652.59,100
HOM,B2,3182.94,100
HOM,B3,1978.41,100
HOM,B4,133.94,100
HOM,B5,5929.06,100
HOM,B6,3941.86,100
HOM,B7,167.12,100
HOM,B8,5938.15,100
HOM,B9,4576.42,100
INFRARISK,A1,85.88,100
INFRARISK,A2,1066.13,100
INFRARISK,A3,336.27,100
INFRARISK,B2,2971.49,100
INFRARISK,B3,1780.11,100
INFRARISK,B4,214.25,100
INFRARISK,B5,16882.57,100
INFRARISK,B6,12200.98,100
INFRARISK,B7,187.5,100
INFRARISK,B8,18106.95,100
INFRARISK,B9,12363.03,100
ISO19115TCC,A1,58.35,100
ISO19115TCC,A2,120.1,100
ISO19115TCC,A3,261.54,100
ISO19115TCC,B2,1004.73,100
ISO19115TCC,B3,532.75,100
ISO19115TCC,B4,25.31,100
ISO19115TCC,B5,500.15,100
ISO19115TCC,B6,331.46,100
ISO19115TCC,B7,28.6,100
ISO19115TCC,B8,469.87,100
ISO19115TCC,B9,329.45,100
ISSVA,A1,233.22,100
ISSVA,A2,24448.84,100
ISSVA,A3,942.07,100
ISSVA,B2,5548.67,100
ISSVA,B3,3846.21,100
ISSVA,B4,1957.23,100
ISSVA,B5,9149.83,100
ISSVA,B6,5339.96,100
ISSVA,B7,2015.09,100
ISSVA,B8,9889.0,100
ISSVA,B9,5380.14,100
IXNO,A1,81.55,100
IXNO,A2,433.7,100
IXNO,A3,290.28,100
IXNO,B2,1550.18,100
IXNO,B3,797.69,100
IXNO,B4,51.89,100
IXNO,B5,890.29,100
IXNO,B6,519.41,100
IXNO,B7,66.76,100
IXNO,B8,990.69,100
IXNO,B9,594.3,100
LONGCOVID,A1,49.05,100
LONGCOVID,A2,328.82,100
LONGCOVID,A3,250.06,100
LONGCOVID,B2,1113.06,100
LONGCOVID,B3,564.1,100
LONGCOVID,B4,32.3,100
LONGCOVID,B5,637.68,100
LONGCOVID,B6,412.55,100
LONGCOVID,B7,31.68,100
LONGCOVID,B8,600.09,100
LONGCOVID,B9,406.49,100
MCRO,A1,70.2,100
MCRO,A2,889.02,100
MCRO,A3,343.53,100
MCRO,B2,2458.95,100
MCRO,B3,1333.32,100
MCRO,B4,53.82,100
MCRO,B5,1164.97,100
MCRO,B6,678.12,100
MCRO,B7,67.78,100
MCRO,B8,1484.33,100
MCRO,B9,748.51,100
MEDEON,A1,89.48,100
MEDEON,A2,1217.13,100
MEDEON,A3,379.09,100
MEDEON,B2,3580.65,100
MEDEON,B3,2526.57,100
MEDEON,B4,213.68,100
MEDEON,B5,5885.93,100
MEDEON,B6,4126.13,100
MEDEON,B7,217.5,100
MEDEON,B8,6137.27,100
MEDEON,B9,4034.27,100
MLTX,A1,56.55,100
MLTX,A2,160.97,100
MLTX,A3,242.57,100
MLTX,B2,1200.76,100
MLTX,B3,566.62,100
MLTX,B4,30.09,100
MLTX,B5,662.28,100
MLTX,B6,449.21,100
MLTX,B7,29.77,100
MLTX,B8,584.35,100
MLTX,B9,464.17,100
OA,A1,46.36,100
OA,A2,318.07,100
OA,A3,207.22,100
OA,B2,814.11,100
OA,B3,392.02,100
OA,B4,69.52,100
OA,B5,310.83,100
OA,B6,187.13,100
OA,B7,55.64,100
OA,B8,294.41,100
OA,B9,193.32,100
OFSMR,A1,261.91,100
OFSMR,A2,1517.52,100
OFSMR,A3,590.29,100
OFSMR,B2,3829.62,100
OFSMR,B3,2044.52,100
OFSMR,B4,138.12,100
OFSMR,B5,2040.23,100
OFSMR,B6,1373.74,100
OFSMR,B7,221.96,100
OFSMR,B8,2323.57,100
OFSMR,B9,1666.11,100
OGR,A1,76.28,100
OGR,A2,663.56,100
OGR,A3,255.2,100
OGR,B2,1718.8,100
OGR,B3,974.56,100
OGR,B4,35.69,100
OGR,B5,821.55,100
OGR,B6,520.04,100
OGR,B7,52.22,100
OGR,B8,876.64,100
OGR,B9,589.22,100
PATCT,A1,280.28,100
PATCT,A2,44317.89,100
PATCT,A3,1398.27,100
PATCT,B2,7152.38,100
PATCT,B3,4783.62,100
PATCT,B4,217.48,100
PATCT,B5,2090.0,100
PATCT,B6,1735.75,100
PATCT,B7,359.9,100
PATCT,B8,2818.93,100
PATCT,B9,2154.04,100
PE,A1,152.4,100
PE,A2,12920.45,100
PE,A3,555.67,100
PE,B2,4410.03,100
PE,B3,2766.41,100
PE,B4,95.92,100
PE,B5,2896.14,100
PE,B6,2045.39,100
PE,B7,155.53,100
PE,B8,2892.31,100
PE,B9,2188.37,100
PLIO,A1,42.17,100
PLIO,A2,130.71,100
PLIO,A3,207.17,100
PLIO,B2,513.91,100
PLIO,B3,329.34,100
PLIO,B4,31.82,100
PLIO,B5,430.77,100
PLIO,B6,312.95,100
PLIO,B7,22.95,100
PLIO,B8,330.06,100
PLIO,B9,277.47,100
PREGONTO,A1,154.78,100
PREGONTO,A2,1036.12,100
PREGONTO,A3,309.52,100
PREGONTO,B2,2212.19,100
PREGONTO,B3,1194.19,100
PREGONTO,B4,53.16,100
PREGONTO,B5,1710.14,100
PREGONTO,B6,1066.13,100
PREGONTO,B7,80.13,100
PREGONTO,B8,1737.95,100
PREGONTO,B9,1206.11,100
PTRANS,A1,152.87,100
PTRANS,A2,1116.64,100
PTRANS,A3,320.66,100
PTRANS,B2,1821.69,100
PTRANS,B3,1041.08,100
PTRANS,B4,54.17,100
PTRANS,B5,1342.35,100
PTRANS,B6,879.84,100
PTRANS,B7,81.38,100
PTRANS,B8,1378.62,100
PTRANS,B9,888.71,100
REPO,A1,144.75,100
REPO,A2,5959.18,100
REPO,A3,606.4,100
REPO,B2,3361.58,100
REPO,B3,1903.27,100
REPO,B4,95.22,100
REPO,B5,1483.89,100
REPO,B6,842.42,100
REPO,B7,140.1,100
REPO,B8,1530.7,100
REPO,B9,879.15,100
SENSO,A1,30.49,100
SENSO,A2,117.3,100
SENSO,A3,211.16,100
SENSO,B2,606.76,100
SENSO,B3,381.51,100
SENSO,B4,55.9,100
SENSO,B5,953.94,100
SENSO,B6,718.72,100
SENSO,B7,33.76,100
SENSO,B8,700.15,100
SENSO,B9,740.25,100
SLEEP,A1,124.09,100
SLEEP,A2,4921.86,100
SLEEP,A3,519.77,100
SLEEP,B2,4100.57,100
SLEEP,B3,2575.72,100
SLEEP,B4,84.29,100
SLEEP,B5,2406.43,100
SLEEP,B6,1430.66,100
SLEEP,B7,116.92,100
SLEEP,B8,2508.94,100
SLEEP,B9,1661.37,100
TAXRANK,A1,137.98,100
TAXRANK,A2,537.92,100
TAXRANK,A3,727.88,100
TAXRANK,B2,3835.17,100
TAXRANK,B3,2363.87,100
TAXRANK,B4,125.77,100
TAXRANK,B5,3395.34,100
TAXRANK,B6,1955.82,100
TAXRANK,B7,168.36,100
TAXRANK,B8,3474.23,100
TAXRANK,B9,2887.58,100
TESTEX,A1,322.94,100
TESTEX,A2,10014.95,100
TESTEX,A3,682.89,100
TESTEX,B2,6885.28,100
TESTEX,B3,4398.63,100
TESTEX,B4,136.1,100
TESTEX,B5,6139.91,100
TESTEX,B6,4285.28,100
TESTEX,B7,238.48,100
