iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening,run_id
0.9973890339425587,0.5,0.9880478087649402,20260521224927414019
0.9904648390941597,0.5,0.5,20260521224927414019
0.9912718204488778,0.5,0.9880478087649402,20260521224927414019
1.0,0.5,0.9784615384615385,20260521224927414019
1.0,0.5,0.9875518672199171,20260521224927414019
0.9913419913419913,0.5,0.5,20260521224927414019
1.0,0.5,0.9784615384615385,20260521224927414019
1.0,0.5,0.975,20260521224927414019
0.9970760233918129,0.5,0.9880478087649402,20260521224927414019
0.9885204081632653,0.5,0.5,20260521224927414019
0.9880478087649402,0.5,0.9880478087649402,20260521224927414019
1.0,0.5,0.5,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.9929161747343566,0.5,0.5,20260521224927414019
0.9947916666666666,0.5,0.5,20260521224927414019
0.990632318501171,0.5,0.5,20260521224927414019
0.9904648390941597,0.5,0.9863013698630136,20260521224927414019
0.9956989247311828,0.5,0.9863013698630136,20260521224927414019
0.5,0.5,0.5,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.5,0.5,0.9715099715099715,20260521224927414019
1.0,0.5,0.9863013698630136,20260521224927414019
0.9880478087649402,0.5,0.5,20260521224927414019
0.9988814317673378,0.5,0.5,20260521224927414019
0.9952696310312205,0.5,0.9863201094391245,20260521224927414019
0.5,0.5,0.9875518672199171,20260521224927414019
1.0,0.5,0.5,20260521224927414019
1.0,0.5,0.9893617021276596,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.9976190476190476,0.5,0.5,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.9896774193548387,0.5,0.5,20260521224927414019
0.9885057471264368,0.5,0.5,20260521224927414019
0.9928122192273136,0.5,0.5,20260521224927414019
0.9924385633270322,0.5,0.5,20260521224927414019
1.0,0.5,0.9875518672199171,20260521224927414019
1.0,0.5,0.5,20260521224927414019
1.0,0.5,0.9880478087649402,20260521224927414019
1.0,0.5,0.5,20260521224927414019
1.0,0.5,0.9880478087649402,20260521224927414019
0.994026284348865,0.5,0.9857549857549858,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.9985528219971056,0.9880478087649402,0.9870689655172413,20260521224927414019
0.5,0.9880478087649402,0.975,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.9805680119581465,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.9986702127659575,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.9863201094391245,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.9880478087649402,20260521224927414019
1.0,0.9880478087649402,0.9880478087649402,20260521224927414019
0.9885496183206107,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.5,0.984180790960452,20260521224927414019
0.9912109375,0.5,0.9863013698630136,20260521224927414019
0.5,0.5,0.5,20260521224927414019
0.995575221238938,0.5,0.9860031104199067,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.9897260273972602,0.9880478087649402,0.9863013698630136,20260521224927414019
0.9973799126637555,0.9880478087649402,0.9875690607734806,20260521224927414019
0.9876160990712074,0.9880478087649402,0.9880478087649402,20260521224927414019
0.9880478087649402,0.9880478087649402,0.5,20260521224927414019
0.990632318501171,0.9880478087649402,0.9863013698630136,20260521224927414019
0.9900990099009901,0.9880478087649402,0.9827338129496402,20260521224927414019
1.0,0.9880478087649402,0.9863013698630136,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.9880478087649402,0.9880478087649402,0.9892617449664429,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.9850057670126874,20260521224927414019
0.9885057471264368,0.9880478087649402,0.5,20260521224927414019
0.9880794701986755,0.9880478087649402,0.9845938375350141,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.996031746031746,0.9880478087649402,0.988795518207283,20260521224927414019
0.9880478087649402,0.9880478087649402,0.9767054908485857,20260521224927414019
0.5,0.9880478087649402,0.975,20260521224927414019
0.9896907216494846,0.9880478087649402,0.9863013698630136,20260521224927414019
0.9962825278810409,0.9880478087649402,0.9838420107719928,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.9971305595408895,0.5,0.9876203576341128,20260521224927414019
0.9940334128878282,0.5,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
1.0,0.9880478087649402,0.5,20260521224927414019
0.9924026590693258,0.9880478087649402,0.9880478087649402,20260521224927414019
1.0,0.5,0.9877862595419847,20260521224927414019
0.9985250737463127,0.5,0.5,20260521224927414019
1.0,0.5,0.9864130434782609,20260521224927414019
0.9919517102615694,0.5,0.9860031104199067,20260521224927414019
0.9880794701986755,0.5,0.9863013698630136,20260521224927414019
1.0,0.5,0.5,20260521224927414019
0.9897304236200257,0.5,0.9920634920634921,20260521224927414019
1.0,0.5,0.9868247694334651,20260521224927414019
1.0,0.5,0.5,20260521224927414019
1.0,0.5,0.9880478087649402,20260521224927414019
0.996268656716418,0.5,0.9820627802690582,20260521224927414019
0.9889705882352942,0.5,0.9784615384615385,20260521224927414019
0.9953917050691244,0.5,0.5,20260521224927414019
