B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
0.839572192513369,0.6511627906976745,0.8456591639871383,0.3874538745387454,0.25748502994011974,0.651685393258427,0.3874538745387454,0.25748502994011974,0.651685393258427,1.0,1.0,0.8119891008174387,1.0,0.5,0.7889908256880734,1.0,0.5,0.7889908256880734,1.0,1.0,0.88,1.0,0.5,0.7889908256880734,1.0,1.0,0.8807947019867549,20260624134028346645
1.0,1.0,0.79375,0.4155844155844156,0.23157894736842105,0.5,1.0,0.5,0.7684210526315789,0.9235880398671097,0.8770053475935828,0.8154506437768241,0.863905325443787,0.5818181818181818,0.7425149700598802,0.9428571428571428,0.9104477611940298,0.8441558441558441,0.9428571428571428,0.9104477611940298,0.8441558441558441,0.9428571428571428,0.9104477611940298,0.8441558441558441,0.9428571428571428,0.9104477611940298,0.8441558441558441,20260624134028346645
1.0,1.0,0.47368421052631576,0.9285714285714286,0.9104477611940298,0.8295454545454546,0.31785714285714284,0.23157894736842105,0.22994652406417113,0.7830188679245284,0.5818181818181818,0.0,0.7830188679245284,0.5818181818181818,0.0,0.9285714285714286,0.9104477611940298,0.8295454545454546,0.7830188679245284,0.5818181818181818,0.0,0.9285714285714286,0.9104477611940298,0.8295454545454546,0.9285714285714286,0.9104477611940298,0.8295454545454546,20260624134028346645
0.21223021582733814,0.21223021582733814,0.162534435261708,0.5,0.5,0.0,0.5,0.5,0.0,0.5818181818181818,0.5818181818181818,0.21212121212121213,0.9104477611940298,0.9104477611940298,0.6680672268907563,0.5818181818181818,0.5818181818181818,0.21212121212121213,0.5818181818181818,0.5818181818181818,0.21212121212121213,0.9104477611940298,0.9104477611940298,0.6680672268907563,0.9104477611940298,0.9104477611940298,0.6680672268907563,20260624134028346645
0.8666666666666667,0.5818181818181818,0.8525641025641025,0.9178082191780822,0.5,0.9073359073359073,0.9251559251559252,0.9104477611940298,0.9196428571428571,0.8666666666666667,0.5818181818181818,0.8525641025641025,0.9251559251559252,0.9104477611940298,0.9196428571428571,0.8666666666666667,0.5818181818181818,0.8525641025641025,0.8666666666666667,0.5818181818181818,0.8525641025641025,0.8666666666666667,0.5818181818181818,0.8525641025641025,0.9251559251559252,0.9104477611940298,0.9196428571428571,20260624134028346645
1.0,1.0,0.8435374149659864,0.41818181818181815,0.41818181818181815,0.7684210526315789,1.0,1.0,0.8441558441558441,1.0,1.0,0.7700534759358288,1.0,1.0,0.8441558441558441,1.0,1.0,0.8441558441558441,0.5,0.5,0.7425149700598802,0.5,0.5,0.7425149700598802,0.5,0.5,0.7425149700598802,20260624134028346645
0.9245283018867925,0.5,0.41818181818181815,0.9289940828402367,0.9104477611940298,1.0,0.9289940828402367,0.9104477611940298,1.0,0.876010781671159,0.5818181818181818,0.5,0.9289940828402367,0.9104477611940298,1.0,0.9289940828402367,0.9104477611940298,1.0,0.876010781671159,0.5818181818181818,0.5,0.9289940828402367,0.9104477611940298,1.0,0.876010781671159,0.5818181818181818,0.5,20260624134028346645
0.2898550724637681,0.24324324324324326,0.20396600566572237,0.2792452830188679,0.23157894736842105,0.19298245614035087,0.2792452830188679,0.23157894736842105,0.19298245614035087,0.9240506329113924,0.9104477611940298,0.7432432432432432,0.7472527472527473,0.5818181818181818,0.27358490566037735,0.7472527472527473,0.5818181818181818,0.27358490566037735,0.9240506329113924,0.9104477611940298,0.7432432432432432,0.9240506329113924,0.9104477611940298,0.7432432432432432,0.7472527472527473,0.5818181818181818,0.27358490566037735,20260624134028346645
1.0,0.7264150943396226,0.8070175438596491,1.0,0.41818181818181815,0.7684210526315789,0.9108910891089109,1.0,0.8441558441558441,0.5892857142857143,0.5,0.7425149700598802,0.9108910891089109,1.0,0.8441558441558441,0.9108910891089109,1.0,0.8441558441558441,0.9095477386934674,1.0,0.8523489932885906,0.9108910891089109,1.0,0.8441558441558441,0.9108910891089109,1.0,0.8441558441558441,20260624134028346645
0.9191011235955057,0.9191011235955057,0.8523489932885906,0.9196428571428571,0.9196428571428571,0.8441558441558441,0.9196428571428571,0.9196428571428571,0.8441558441558441,0.8666666666666667,0.8666666666666667,0.7656675749318801,0.9196428571428571,0.9196428571428571,0.8441558441558441,0.9196428571428571,0.9196428571428571,0.8441558441558441,0.8525641025641025,0.8525641025641025,0.7425149700598802,0.9196428571428571,0.9196428571428571,0.8441558441558441,0.8525641025641025,0.8525641025641025,0.7425149700598802,20260624134028346645
1.0,0.41818181818181815,0.09090909090909091,0.4634146341463415,0.25748502994011974,0.1476510067114094,0.4634146341463415,0.25748502994011974,0.1476510067114094,0.916058394160584,1.0,0.3333333333333333,0.9469026548672567,1.0,0.5048543689320388,0.8808290155440415,0.5,0.0,0.9469026548672567,1.0,0.5048543689320388,0.9469026548672567,1.0,0.5048543689320388,0.9469026548672567,1.0,0.5048543689320388,20260624134028346645
0.34915254237288135,0.23157894736842105,0.21495327102803738,0.8853046594982079,1.0,0.7894736842105263,1.0,0.9104477611940298,0.766798418972332,1.0,0.9719387755102041,0.897196261682243,1.0,0.5818181818181818,0.4233576642335766,1.0,0.5818181818181818,0.4233576642335766,1.0,0.9719387755102041,0.897196261682243,1.0,0.5818181818181818,0.4233576642335766,1.0,0.5818181818181818,0.4233576642335766,20260624134028346645
0.9253112033195021,1.0,0.30174081237911027,0.7578947368421053,0.5,0.0,0.2899628252788104,0.25748502994011974,0.06343906510851419,0.7578947368421053,0.5,0.0,0.9253112033195021,1.0,0.30174081237911027,0.9253112033195021,1.0,0.30174081237911027,0.8203125,1.0,0.05913978494623656,0.9253112033195021,1.0,0.30174081237911027,0.7578947368421053,0.5,0.0,20260624134028346645
0.25970149253731345,1.0,0.23157894736842105,0.25970149253731345,1.0,0.23157894736842105,0.25970149253731345,1.0,0.23157894736842105,1.0,0.8525641025641025,0.5818181818181818,1.0,0.9196428571428571,0.9104477611940298,1.0,0.9196428571428571,0.9104477611940298,1.0,0.9196428571428571,0.9104477611940298,1.0,0.8525641025641025,0.5818181818181818,1.0,0.8525641025641025,0.5818181818181818,20260624134028346645
1.0,0.5818181818181818,0.8368794326241135,0.5223880597014925,0.5,0.8951965065502183,0.5223880597014925,0.5,0.8951965065502183,1.0,0.9104477611940298,0.9138755980861244,1.0,0.5818181818181818,0.8368794326241135,1.0,0.9104477611940298,0.9138755980861244,1.0,0.9104477611940298,0.9138755980861244,1.0,0.9104477611940298,0.9138755980861244,1.0,0.9104477611940298,0.9138755980861244,20260624134028346645
0.6515151515151515,0.8525641025641025,0.5818181818181818,0.26013513513513514,1.0,0.2702702702702703,0.26013513513513514,1.0,0.2702702702702703,0.9138755980861244,0.9191011235955057,0.9090909090909091,0.9150943396226415,0.9196428571428571,0.9104477611940298,0.9150943396226415,0.9196428571428571,0.9104477611940298,0.7830188679245284,0.8693181818181818,0.7578947368421053,0.9150943396226415,0.9196428571428571,0.9104477611940298,0.6515151515151515,0.8525641025641025,0.5818181818181818,20260624134028346645
